Start Time,Consumption (W)
2024-01-15 00:00:00,10662.0
2024-01-15 01:00:00,10784.0
2024-01-15 02:00:00,6778.0
2024-01-15 03:00:00,6240.0
2024-01-15 04:00:00,5292.0
2024-01-15 05:00:00,6234.0
2024-01-15 06:00:00,5470.0
2024-01-15 07:00:00,6720.0
2024-01-15 08:00:00,6038.0
2024-01-15 09:00:00,6218.0
2024-01-15 10:00:00,6596.0
2024-01-15 11:00:00,5456.0
2024-01-15 12:00:00,6138.0
2024-01-15 13:00:00,6306.0
2024-01-15 14:00:00,3764.0
2024-01-15 15:00:00,2986.0
2024-01-15 16:00:00,3430.0
2024-01-15 17:00:00,4406.0
2024-01-15 18:00:00,7496.0
2024-01-15 19:00:00,13396.0
2024-01-15 20:00:00,11334.0
2024-01-15 21:00:00,8042.0
2024-01-15 22:00:00,4200.0
2024-01-15 23:00:00,3936.0
2024-01-16 00:00:00,8668.0
2024-01-16 01:00:00,8602.0
2024-01-16 02:00:00,4584.0
2024-01-16 03:00:00,4044.0
2024-01-16 04:00:00,3162.0
2024-01-16 05:00:00,3834.0
2024-01-16 06:00:00,4326.0
2024-01-16 07:00:00,5370.0
2024-01-16 08:00:00,4272.0
2024-01-16 09:00:00,5848.0
2024-01-16 10:00:00,6456.0
2024-01-16 11:00:00,5978.0
2024-01-16 12:00:00,8588.0
2024-01-16 13:00:00,7980.0
2024-01-16 14:00:00,7856.0
2024-01-16 15:00:00,7312.0
2024-01-16 16:00:00,6106.0
2024-01-16 17:00:00,6234.0
2024-01-16 18:00:00,7064.0
2024-01-16 19:00:00,6618.0
2024-01-16 20:00:00,6734.0
2024-01-16 21:00:00,8798.0
2024-01-16 22:00:00,12176.0
2024-01-16 23:00:00,11628.0
2024-01-17 00:00:00,10854.0
2024-01-17 01:00:00,11044.0
2024-01-17 02:00:00,9040.0
2024-01-17 03:00:00,5192.0
2024-01-17 04:00:00,5312.0
2024-01-17 05:00:00,4396.0
2024-01-17 06:00:00,5144.0
2024-01-17 07:00:00,4168.0
2024-01-17 08:00:00,4564.0
2024-01-17 09:00:00,1944.0
2024-01-17 10:00:00,2178.0
2024-01-17 11:00:00,1608.0
2024-01-17 12:00:00,3928.0
2024-01-17 13:00:00,2562.0
2024-01-17 14:00:00,2148.0
2024-01-17 15:00:00,2542.0
2024-01-17 16:00:00,1710.0
2024-01-17 17:00:00,2064.0
2024-01-17 18:00:00,6596.0
2024-01-17 19:00:00,3986.0
2024-01-17 20:00:00,3012.0
2024-01-17 21:00:00,4078.0
2024-01-17 22:00:00,8892.0
2024-01-17 23:00:00,7930.0
2024-01-18 00:00:00,7374.0
2024-01-18 01:00:00,1628.0
2024-01-18 02:00:00,2460.0
2024-01-18 03:00:00,2388.0
2024-01-18 04:00:00,1634.0
2024-01-18 05:00:00,2382.0
2024-01-18 06:00:00,1632.0
2024-01-18 07:00:00,2816.0
2024-01-18 08:00:00,3006.0
2024-01-18 09:00:00,2356.0
2024-01-18 10:00:00,2838.0
2024-01-18 11:00:00,1368.0
2024-01-18 12:00:00,2076.0
2024-01-18 13:00:00,1296.0
2024-01-18 14:00:00,1324.0
2024-01-18 15:00:00,2166.0
2024-01-18 16:00:00,1946.0
2024-01-18 17:00:00,3148.0
2024-01-18 18:00:00,6962.0
